
using device: mps
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
./train_get2.py:330: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
step0 | loss: 10.975310325622559 | dt: 3188.12ms | tok/sec:  5139.09 | norm: 7.12
step1 | loss: 10.939828872680664 | dt: 2139.33ms | tok/sec:  7658.47 | norm: 7.98
step2 | loss: 10.875076293945312 | dt: 2198.62ms | tok/sec:  7451.93 | norm: 6.90
step3 | loss: 10.780405044555664 | dt: 2160.96ms | tok/sec:  7581.81 | norm: 6.90
step4 | loss: 10.638996124267578 | dt: 2146.54ms | tok/sec:  7632.75 | norm: 7.04
step5 | loss: 10.537909507751465 | dt: 2143.86ms | tok/sec:  7642.31 | norm: 6.24
step6 | loss: 10.427385330200195 | dt: 2168.45ms | tok/sec:  7555.63 | norm: 5.62
step7 | loss: 10.272745132446289 | dt: 2172.67ms | tok/sec:  7540.94 | norm: 5.34
step8 | loss: 10.020660400390625 | dt: 2165.92ms | tok/sec:  7564.45 | norm: 5.45
step9 | loss: 9.883443832397461 | dt: 2221.81ms | tok/sec:  7374.17 | norm: 5.02
step10 | loss: 9.698760032653809 | dt: 2161.18ms | tok/sec:  7581.06 | norm: 4.54
step11 | loss: 9.620956420898438 | dt: 2170.01ms | tok/sec:  7550.21 | norm: 3.95
step12 | loss: 9.442276000976562 | dt: 2268.99ms | tok/sec:  7220.85 | norm: 3.60
step13 | loss: 9.371742248535156 | dt: 2172.77ms | tok/sec:  7540.62 | norm: 3.16
step14 | loss: 9.353745460510254 | dt: 2241.09ms | tok/sec:  7310.73 | norm: 2.97
step15 | loss: 9.17171859741211 | dt: 2263.59ms | tok/sec:  7238.06 | norm: 2.83
step16 | loss: 9.126529693603516 | dt: 2354.57ms | tok/sec:  6958.37 | norm: 2.78
step17 | loss: 9.082365989685059 | dt: 2371.76ms | tok/sec:  6907.94 | norm: 2.82
step18 | loss: 9.01906681060791 | dt: 2370.15ms | tok/sec:  6912.63 | norm: 2.98
step19 | loss: 8.859859466552734 | dt: 2446.88ms | tok/sec:  6695.88 | norm: 3.34
step20 | loss: 8.916260719299316 | dt: 2386.87ms | tok/sec:  6864.21 | norm: 3.12
step21 | loss: 8.730613708496094 | dt: 2412.32ms | tok/sec:  6791.79 | norm: 3.05
step22 | loss: 8.83873176574707 | dt: 2405.30ms | tok/sec:  6811.62 | norm: 2.32
step23 | loss: 8.794960975646973 | dt: 2430.76ms | tok/sec:  6740.29 | norm: 2.64
step24 | loss: 8.67410659790039 | dt: 2404.95ms | tok/sec:  6812.60 | norm: 2.62
step25 | loss: 8.791549682617188 | dt: 2418.41ms | tok/sec:  6774.70 | norm: 2.41
step26 | loss: 8.842378616333008 | dt: 2452.14ms | tok/sec:  6681.52 | norm: 2.40
step27 | loss: 8.779890060424805 | dt: 2413.46ms | tok/sec:  6788.58 | norm: 2.49
step28 | loss: 8.57392692565918 | dt: 2410.75ms | tok/sec:  6796.22 | norm: 2.28
step29 | loss: 8.547185897827148 | dt: 2538.74ms | tok/sec:  6453.61 | norm: 2.18
step30 | loss: 8.453359603881836 | dt: 2423.80ms | tok/sec:  6759.63 | norm: 2.01
step31 | loss: 8.467878341674805 | dt: 2433.84ms | tok/sec:  6731.75 | norm: 1.86
step32 | loss: 8.356851577758789 | dt: 2407.46ms | tok/sec:  6805.52 | norm: 2.04
